x,y,z
3.443946721277470857e+01,-4.968324952106720538e+00,9.528607799133355627e+01
4.051519412111872498e+01,-1.532676612975479458e+01,9.218277506752895079e+01
2.860416792569942857e+01,-2.507884196082345341e+01,9.235531794237138570e+01
2.346303269365078492e+01,-2.301061154923655749e+01,9.142572555106220022e+01
2.144041345086176165e+01,-2.387023603761027957e+01,9.072731721461808263e+01
2.213355165249381429e+01,-2.896941388939183781e+01,8.730762232857358640e+01
2.871548284713696830e+01,-2.343364592649137279e+01,9.332183032159602476e+01
5.128301014298841665e+01,-1.315948332387714892e+01,9.842655349875910531e+01
3.810167223172808093e+01,-2.237296846756051139e+01,9.649528708683628508e+01
2.954956139901325685e+01,-2.753424593276363552e+01,9.471101553417069852e+01
2.347716229311448899e+01,-1.950887462487393265e+01,9.466507690465759595e+01
2.060491437062945863e+01,-1.971529729798255204e+01,9.415466717535056773e+01
3.520392208508881282e+01,-2.176333013616731193e+01,9.256776151455036938e+01
5.340446893777053816e+01,-1.898580882448420937e+01,9.052615499026009616e+01
3.478066542289762708e+01,-2.308104498771793445e+01,9.070881451958879893e+01
